day,subscribersGained,subscribersLost,views
2024-03-06,2,0,408
2024-03-05,1,0,340
2024-03-04,3,0,377
2024-03-03,5,0,302
2024-03-02,1,0,238
2024-03-01,3,0,267
2024-02-29,1,0,306
2024-02-28,3,0,346
2024-02-27,4,2,322
2024-02-26,1,1,336
2024-02-25,2,0,335
2024-02-24,3,0,257
2024-02-23,2,0,277
2024-02-22,1,0,350
2024-02-21,4,0,334
2024-02-20,4,1,362
2024-02-19,6,0,387
2024-02-18,3,0,369
2024-02-17,2,1,286
2024-02-16,3,0,329
2024-02-15,3,1,343
2024-02-14,3,0,302
2024-02-13,4,1,336
2024-02-12,3,1,330
2024-02-11,3,0,338
2024-02-10,4,0,252
2024-02-09,1,0,248
2024-02-08,0,0,267
2024-02-07,5,0,352
2024-02-06,0,0,380
2024-02-05,4,0,313
2024-02-04,4,0,303
2024-02-03,3,0,302
2024-02-02,2,0,322
2024-02-01,5,0,428
2024-01-31,4,0,363
2024-01-30,1,0,365
2024-01-29,1,0,368
2024-01-28,5,0,319
2024-01-27,1,0,228
2024-01-26,5,0,287
2024-01-25,3,1,322
2024-01-24,2,0,338
2024-01-23,3,1,383
2024-01-22,2,1,398
2024-01-21,2,1,362
2024-01-20,2,0,260
2024-01-19,5,0,303
2024-01-18,0,0,366
2024-01-17,5,0,359
2024-01-16,5,0,387
2024-01-15,1,0,326
2024-01-14,1,1,289
2024-01-13,2,0,265
2024-01-12,2,0,281
2024-01-11,1,0,305
2024-01-10,4,0,353
2024-01-09,1,0,302
2024-01-08,3,0,341
2024-01-07,1,0,271
2024-01-06,1,0,226
2024-01-05,2,0,244
2024-01-04,0,0,336
2024-01-03,3,1,277
2024-01-02,3,1,283
2024-01-01,3,0,275
2023-12-31,1,0,184
2023-12-30,1,0,172
2023-12-29,0,0,195
2023-12-28,3,0,260
2023-12-27,2,1,213
2023-12-26,1,0,228
2023-12-25,1,0,194
2023-12-24,2,1,201
2023-12-23,1,0,172
2023-12-22,2,0,211
2023-12-21,5,1,304
2023-12-20,0,1,306
2023-12-19,3,0,275
2023-12-18,1,0,328
2023-12-17,2,1,309
2023-12-16,2,0,239
2023-12-15,3,0,290
2023-12-14,6,1,326
2023-12-13,0,0,381
2023-12-12,3,0,356
2023-12-11,2,1,373
2023-12-10,3,0,346
2023-12-09,2,0,263
2023-12-08,3,0,256
2023-12-07,2,0,320
2023-12-06,2,0,331
2023-12-05,7,1,364
2023-12-04,1,0,394
2023-12-03,2,0,345
2023-12-02,3,0,314
2023-12-01,1,0,286
2023-11-30,8,0,302
2023-11-29,4,1,393
2023-11-28,5,0,361
2023-11-27,2,0,422
2023-11-26,4,0,329
2023-11-25,5,0,278
2023-11-24,0,0,240
2023-11-23,4,0,306
2023-11-22,1,0,340
2023-11-21,2,1,393
2023-11-20,1,0,362
2023-11-19,4,1,284
2023-11-18,3,1,243
2023-11-17,6,1,288
2023-11-16,4,0,364
2023-11-15,3,1,374
2023-11-14,0,0,310
2023-11-13,1,0,339
2023-11-12,2,0,286
2023-11-11,2,0,243
2023-11-10,1,0,267
2023-11-09,4,0,345
2023-11-08,3,0,377
2023-11-07,1,0,374
2023-11-06,1,2,412
2023-11-05,2,1,320
2023-11-04,2,0,261
2023-11-03,5,0,259
2023-11-02,5,0,368
2023-11-01,2,0,343
2023-10-31,4,0,357
2023-10-30,3,0,358
2023-10-29,3,0,311
2023-10-28,1,0,228
2023-10-27,2,1,282
2023-10-26,7,2,323
2023-10-25,0,0,371
2023-10-24,4,0,332
2023-10-23,5,0,312
2023-10-22,1,0,310
2023-10-21,2,0,265
2023-10-20,5,0,262
2023-10-19,6,0,335
2023-10-18,2,0,350
2023-10-17,2,0,362
2023-10-16,5,1,411
2023-10-15,2,0,287
2023-10-14,4,1,244
2023-10-13,4,0,283
2023-10-12,0,0,348
2023-10-11,6,1,346
2023-10-10,3,0,387
2023-10-09,3,0,353
2023-10-08,2,0,270
2023-10-07,3,1,271
2023-10-06,1,0,226
2023-10-05,4,1,312
2023-10-04,2,0,387
2023-10-03,3,2,349
2023-10-02,4,0,340
2023-10-01,3,0,270
2023-09-30,2,0,209
2023-09-29,5,1,249
2023-09-28,6,0,318
2023-09-27,2,0,309
2023-09-26,2,0,368
2023-09-25,2,0,343
2023-09-24,1,0,300
2023-09-23,2,0,233
2023-09-22,1,0,306
2023-09-21,2,0,326
2023-09-20,2,0,303
2023-09-19,1,0,373
2023-09-18,1,0,301
2023-09-17,0,0,265
2023-09-16,1,0,222
2023-09-15,3,0,265
2023-09-14,7,1,343
2023-09-13,2,0,296
2023-09-12,1,0,257
2023-09-11,3,0,294
2023-09-10,3,0,272
2023-09-09,2,0,275
2023-09-08,5,0,268
2023-09-07,4,0,257
2023-09-06,3,0,251
2023-09-05,5,0,269
2023-09-04,4,0,264
2023-09-03,0,0,224
2023-09-02,2,1,177
2023-09-01,2,0,222
2023-08-31,1,0,271
2023-08-30,1,0,272
2023-08-29,3,0,275
2023-08-28,3,1,244
2023-08-27,0,0,254
2023-08-26,0,0,192
2023-08-25,5,0,198
2023-08-24,5,1,292
2023-08-23,1,2,280
2023-08-22,4,0,300
2023-08-21,2,0,262
2023-08-20,1,0,248
2023-08-19,4,0,218
2023-08-18,6,0,244
2023-08-17,3,0,276
2023-08-16,2,1,277
2023-08-15,3,0,255
2023-08-14,2,0,276
2023-08-13,6,2,302
2023-08-12,3,1,204
2023-08-11,0,0,228
2023-08-10,3,0,232
2023-08-09,2,0,233
2023-08-08,5,0,305
2023-08-07,2,0,251
2023-08-06,3,0,210
2023-08-05,4,0,170
2023-08-04,2,0,245
2023-08-03,1,0,262
2023-08-02,2,1,305
2023-08-01,1,0,295
2023-07-31,2,0,294
2023-07-30,4,0,282
2023-07-29,4,0,197
2023-07-28,5,0,228
2023-07-27,0,0,263
2023-07-26,2,1,280
2023-07-25,5,0,351
2023-07-24,4,0,318
2023-07-23,2,0,267
2023-07-22,2,0,238
2023-07-21,4,1,270
2023-07-20,3,0,260
2023-07-19,2,0,355
2023-07-18,3,0,278
2023-07-17,4,2,340
2023-07-16,1,0,249
2023-07-15,4,0,281
2023-07-14,2,0,290
2023-07-13,3,0,284
2023-07-12,4,0,312
2023-07-11,4,1,346
2023-07-10,1,0,331
2023-07-09,5,0,269
2023-07-08,3,1,249
2023-07-07,2,0,257
2023-07-06,7,2,310
2023-07-05,3,0,315
2023-07-04,7,0,335
2023-07-03,3,1,299
2023-07-02,4,0,244
2023-07-01,5,0,230
2023-06-30,5,1,243
2023-06-29,3,0,257
2023-06-28,4,1,246
2023-06-27,1,0,299
2023-06-26,2,0,288
2023-06-25,5,0,307
2023-06-24,3,0,227
2023-06-23,5,1,232
2023-06-22,1,0,296
2023-06-21,1,0,310
2023-06-20,4,0,311
2023-06-19,7,0,353
2023-06-18,4,0,269
2023-06-17,5,0,321
2023-06-16,4,0,299
2023-06-15,0,0,291
2023-06-14,2,0,360
2023-06-13,1,0,346
2023-06-12,2,0,358
2023-06-11,3,0,356
